images,labels
images/img_0.jpg,labels/img_0.txt
images/img_1.jpg,labels/img_1.txt
images/img_10.jpg,labels/img_10.txt
images/img_100.jpg,labels/img_100.txt
images/img_101.jpg,labels/img_101.txt
images/img_102.jpg,labels/img_102.txt
images/img_103.jpg,labels/img_103.txt
images/img_104.jpg,labels/img_104.txt
images/img_105.jpg,labels/img_105.txt
images/img_106.jpg,labels/img_106.txt
images/img_107.jpg,labels/img_107.txt
images/img_108.jpg,labels/img_108.txt
images/img_109.jpg,labels/img_109.txt
images/img_11.jpg,labels/img_11.txt
images/img_110.jpg,labels/img_110.txt
images/img_111.jpg,labels/img_111.txt
images/img_112.jpg,labels/img_112.txt
images/img_113.jpg,labels/img_113.txt
images/img_114.jpg,labels/img_114.txt
images/img_115.jpg,labels/img_115.txt
images/img_116.jpg,labels/img_116.txt
images/img_117.jpg,labels/img_117.txt
images/img_118.jpg,labels/img_118.txt
images/img_119.jpg,labels/img_119.txt
images/img_12.jpg,labels/img_12.txt
images/img_120.jpg,labels/img_120.txt
images/img_121.jpg,labels/img_121.txt
images/img_122.jpg,labels/img_122.txt
images/img_123.jpg,labels/img_123.txt
images/img_124.jpg,labels/img_124.txt
images/img_125.jpg,labels/img_125.txt
images/img_126.jpg,labels/img_126.txt
images/img_127.jpg,labels/img_127.txt
images/img_128.jpg,labels/img_128.txt
images/img_129.jpg,labels/img_129.txt
images/img_13.jpg,labels/img_13.txt
images/img_130.jpg,labels/img_130.txt
images/img_131.jpg,labels/img_131.txt
images/img_132.jpg,labels/img_132.txt
images/img_133.jpg,labels/img_133.txt
images/img_134.jpg,labels/img_134.txt
images/img_135.jpg,labels/img_135.txt
images/img_136.jpg,labels/img_136.txt
images/img_137.jpg,labels/img_137.txt
images/img_138.jpg,labels/img_138.txt
images/img_139.jpg,labels/img_139.txt
images/img_14.jpg,labels/img_14.txt
images/img_140.jpg,labels/img_140.txt
images/img_141.jpg,labels/img_141.txt
images/img_142.jpg,labels/img_142.txt
images/img_143.jpg,labels/img_143.txt
images/img_144.jpg,labels/img_144.txt
images/img_145.jpg,labels/img_145.txt
images/img_146.jpg,labels/img_146.txt
images/img_147.jpg,labels/img_147.txt
images/img_148.jpg,labels/img_148.txt
images/img_149.jpg,labels/img_149.txt
images/img_15.jpg,labels/img_15.txt
images/img_150.jpg,labels/img_150.txt
images/img_151.jpg,labels/img_151.txt
images/img_152.jpg,labels/img_152.txt
