images,labels
data/images/img_132.jpg,data/labels/img_132.txt
data/images/img_126.jpg,data/labels/img_126.txt
data/images/img_80.jpg,data/labels/img_80.txt
data/images/img_109.jpg,data/labels/img_109.txt
data/images/img_22.jpg,data/labels/img_22.txt
data/images/img_135.jpg,data/labels/img_135.txt
data/images/img_43.jpg,data/labels/img_43.txt
data/images/img_19.jpg,data/labels/img_19.txt
data/images/img_121.jpg,data/labels/img_121.txt
data/images/img_4.jpg,data/labels/img_4.txt
data/images/img_92.jpg,data/labels/img_92.txt
data/images/img_187.jpg,data/labels/img_187.txt
data/images/img_10.jpg,data/labels/img_10.txt
data/images/img_14.jpg,data/labels/img_14.txt
data/images/img_48.jpg,data/labels/img_48.txt
data/images/img_18.jpg,data/labels/img_18.txt
data/images/img_55.jpg,data/labels/img_55.txt
data/images/img_130.jpg,data/labels/img_130.txt
data/images/img_91.jpg,data/labels/img_91.txt
data/images/img_118.jpg,data/labels/img_118.txt
data/images/img_38.jpg,data/labels/img_38.txt
data/images/img_57.jpg,data/labels/img_57.txt
data/images/img_128.jpg,data/labels/img_128.txt
data/images/img_108.jpg,data/labels/img_108.txt
data/images/img_36.jpg,data/labels/img_36.txt
data/images/img_63.jpg,data/labels/img_63.txt
data/images/img_103.jpg,data/labels/img_103.txt
data/images/img_122.jpg,data/labels/img_122.txt
data/images/img_7.jpg,data/labels/img_7.txt
data/images/img_101.jpg,data/labels/img_101.txt
data/images/img_127.jpg,data/labels/img_127.txt
data/images/img_53.jpg,data/labels/img_53.txt
data/images/img_50.jpg,data/labels/img_50.txt
data/images/img_186.jpg,data/labels/img_186.txt
data/images/img_5.jpg,data/labels/img_5.txt
data/images/img_107.jpg,data/labels/img_107.txt
data/images/img_154.jpg,data/labels/img_154.txt
data/images/img_88.jpg,data/labels/img_88.txt
data/images/img_51.jpg,data/labels/img_51.txt
data/images/img_0.jpg,data/labels/img_0.txt
data/images/img_81.jpg,data/labels/img_81.txt
data/images/img_58.jpg,data/labels/img_58.txt
data/images/img_161.jpg,data/labels/img_161.txt
data/images/img_27.jpg,data/labels/img_27.txt
data/images/img_156.jpg,data/labels/img_156.txt
data/images/img_138.jpg,data/labels/img_138.txt
data/images/img_37.jpg,data/labels/img_37.txt
data/images/img_123.jpg,data/labels/img_123.txt
data/images/img_134.jpg,data/labels/img_134.txt
data/images/img_89.jpg,data/labels/img_89.txt
data/images/img_6.jpg,data/labels/img_6.txt
data/images/img_98.jpg,data/labels/img_98.txt
data/images/img_120.jpg,data/labels/img_120.txt
data/images/img_119.jpg,data/labels/img_119.txt
data/images/img_56.jpg,data/labels/img_56.txt
data/images/img_52.jpg,data/labels/img_52.txt
data/images/img_171.jpg,data/labels/img_171.txt
data/images/img_21.jpg,data/labels/img_21.txt
data/images/img_17.jpg,data/labels/img_17.txt
data/images/img_174.jpg,data/labels/img_174.txt
data/images/img_133.jpg,data/labels/img_133.txt
data/images/img_153.jpg,data/labels/img_153.txt
data/images/img_32.jpg,data/labels/img_32.txt
data/images/img_176.jpg,data/labels/img_176.txt
data/images/img_168.jpg,data/labels/img_168.txt
data/images/img_94.jpg,data/labels/img_94.txt
data/images/img_71.jpg,data/labels/img_71.txt
data/images/img_140.jpg,data/labels/img_140.txt
data/images/img_183.jpg,data/labels/img_183.txt
data/images/img_84.jpg,data/labels/img_84.txt
data/images/img_137.jpg,data/labels/img_137.txt
data/images/img_65.jpg,data/labels/img_65.txt
data/images/img_100.jpg,data/labels/img_100.txt
data/images/img_194.jpg,data/labels/img_194.txt
data/images/img_146.jpg,data/labels/img_146.txt
data/images/img_44.jpg,data/labels/img_44.txt
data/images/img_82.jpg,data/labels/img_82.txt
data/images/img_61.jpg,data/labels/img_61.txt
data/images/img_87.jpg,data/labels/img_87.txt
data/images/img_142.jpg,data/labels/img_142.txt
data/images/img_170.jpg,data/labels/img_170.txt
data/images/img_129.jpg,data/labels/img_129.txt
data/images/img_104.jpg,data/labels/img_104.txt
data/images/img_23.jpg,data/labels/img_23.txt
data/images/img_180.jpg,data/labels/img_180.txt
data/images/img_173.jpg,data/labels/img_173.txt
data/images/img_79.jpg,data/labels/img_79.txt
data/images/img_83.jpg,data/labels/img_83.txt
data/images/img_179.jpg,data/labels/img_179.txt
data/images/img_105.jpg,data/labels/img_105.txt
data/images/img_11.jpg,data/labels/img_11.txt
data/images/img_151.jpg,data/labels/img_151.txt
data/images/img_74.jpg,data/labels/img_74.txt
data/images/img_42.jpg,data/labels/img_42.txt
data/images/img_113.jpg,data/labels/img_113.txt
data/images/img_163.jpg,data/labels/img_163.txt
data/images/img_78.jpg,data/labels/img_78.txt
data/images/img_45.jpg,data/labels/img_45.txt
data/images/img_70.jpg,data/labels/img_70.txt
data/images/img_85.jpg,data/labels/img_85.txt
data/images/img_155.jpg,data/labels/img_155.txt
data/images/img_147.jpg,data/labels/img_147.txt
data/images/img_20.jpg,data/labels/img_20.txt
data/images/img_143.jpg,data/labels/img_143.txt
data/images/img_96.jpg,data/labels/img_96.txt
data/images/img_150.jpg,data/labels/img_150.txt
data/images/img_141.jpg,data/labels/img_141.txt
data/images/img_178.jpg,data/labels/img_178.txt
data/images/img_117.jpg,data/labels/img_117.txt
data/images/img_15.jpg,data/labels/img_15.txt
data/images/img_69.jpg,data/labels/img_69.txt
data/images/img_93.jpg,data/labels/img_93.txt
data/images/img_40.jpg,data/labels/img_40.txt
data/images/img_131.jpg,data/labels/img_131.txt
data/images/img_66.jpg,data/labels/img_66.txt
data/images/img_9.jpg,data/labels/img_9.txt
data/images/img_1.jpg,data/labels/img_1.txt
data/images/img_145.jpg,data/labels/img_145.txt
data/images/img_59.jpg,data/labels/img_59.txt
data/images/img_41.jpg,data/labels/img_41.txt
data/images/img_60.jpg,data/labels/img_60.txt
data/images/img_192.jpg,data/labels/img_192.txt
data/images/img_188.jpg,data/labels/img_188.txt
data/images/img_29.jpg,data/labels/img_29.txt
data/images/img_177.jpg,data/labels/img_177.txt
data/images/img_165.jpg,data/labels/img_165.txt
data/images/img_33.jpg,data/labels/img_33.txt
data/images/img_99.jpg,data/labels/img_99.txt
data/images/img_116.jpg,data/labels/img_116.txt
data/images/img_162.jpg,data/labels/img_162.txt
data/images/img_2.jpg,data/labels/img_2.txt
data/images/img_110.jpg,data/labels/img_110.txt
data/images/img_181.jpg,data/labels/img_181.txt
data/images/img_86.jpg,data/labels/img_86.txt
data/images/img_191.jpg,data/labels/img_191.txt
